Track ID,Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Track Duration (ms),Explicit,Popularity
1,Easy On Me,Adele,Easy On Me,Adele,10/14/2021,224694,FALSE,100
2,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",MONTERO,Lil Nas X,9/17/2021,212352,TRUE,91
3,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",F*CK LOVE 3: OVER YOU,The Kid LAROI,7/23/2021,141805,TRUE,93
4,Heat Waves,Glass Animals,Dreamland (+ Bonus Levels),Glass Animals,8/6/2020,238805,FALSE,92
5,Moth To A Flame (with The Weeknd),"Swedish House Mafia, The Weeknd",Moth To A Flame,"Swedish House Mafia, The Weeknd",10/22/2021,234000,FALSE,90
6,Knife Talk (with 21 Savage ft. Project Pat),"Drake, 21 Savage, Project Pat",Certified Lover Boy,Drake,9/3/2021,242965,TRUE,92
7,Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",Certified Lover Boy,Drake,9/3/2021,257604,TRUE,93
8,Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller",9/24/2021,160656,FALSE,86
9,Need to Know,Doja Cat,Planet Her,Doja Cat,6/25/2021,210560,TRUE,94
10,Meet Me At Our Spot,"THE ANXIETY, WILLOW, Tyler Cole",THE ANXIETY,"THE ANXIETY, WILLOW, Tyler Cole",3/13/2020,162680,TRUE,92
11,good 4 u,Olivia Rodrigo,SOUR,Olivia Rodrigo,5/21/2021,178146,TRUE,96
12,Kiss Me More (feat. SZA),"Doja Cat, SZA",Planet Her,Doja Cat,6/25/2021,208666,TRUE,87
13,family ties (with Kendrick Lamar),"Baby Keem, Kendrick Lamar",The Melodic Blue,Baby Keem,9/10/2021,252262,TRUE,78
14,Woman,Doja Cat,Planet Her,Doja Cat,6/25/2021,172626,TRUE,96
15,Shivers,Ed Sheeran,Shivers,Ed Sheeran,9/13/2021,207853,FALSE,96
16,THATS WHAT I WANT,Lil Nas X,MONTERO,Lil Nas X,9/17/2021,143901,TRUE,95
17,MONTERO (Call Me By Your Name),Lil Nas X,MONTERO,Lil Nas X,9/17/2021,137704,TRUE,91
18,Bad Habits,Ed Sheeran,Bad Habits,Ed Sheeran,6/25/2021,231041,FALSE,97
19,Happier Than Ever,Billie Eilish,Happier Than Ever,Billie Eilish,7/30/2021,298899,TRUE,94
20,Fair Trade (with Travis Scott),"Drake, Travis Scott",Certified Lover Boy,Drake,9/3/2021,291175,TRUE,92
21,Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",The Lockdown Sessions,Elton John,10/22/2021,202735,FALSE,79
22,traitor,Olivia Rodrigo,SOUR,Olivia Rodrigo,5/21/2021,229226,FALSE,93
23,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)","Nardo Wick, G Herbo, Lil Durk, 21 Savage","Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)","Nardo Wick, Lil Durk, 21 Savage",10/8/2021,279853,TRUE,83
24,2055,Sleepy Hallow,Still Sleep?,Sleepy Hallow,6/2/2021,123986,TRUE,88
25,Jugaste y Sufrí,"Eslabon Armado, DannyLux",Corta Venas,Eslabon Armado,12/18/2020,275194,FALSE,87
26,Sweater Weather,The Neighbourhood,I Love You.,The Neighbourhood,4/19/2013,240400,FALSE,90
27,MONEY,LISA,LALISA,LISA,9/10/2021,168227,FALSE,93
28,Dark Red,Steve Lacy,Dark Red,Steve Lacy,2/20/2017,173104,FALSE,89
29,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",Future Nostalgia,Dua Lipa,3/27/2020,203064,FALSE,88
30,love nwantiti (ah ah ah),CKay,CKay The First,CKay,8/30/2019,145800,TRUE,95
31,Pepas,Farruko,La 167,Farruko,10/1/2021,287120,TRUE,84
32,My Universe,"Coldplay, BTS",Music Of The Spheres,Coldplay,10/15/2021,226198,FALSE,84
33,Bubbly (with Drake & Travis Scott),"Young Thug, Drake, Travis Scott",Punk,Young Thug,10/15/2021,165066,TRUE,84
34,Beggin',Måneskin,Chosen,Måneskin,12/8/2017,211560,FALSE,96
35,Fancy Like,Walker Hayes,Fancy Like (feat. Kesha),"Walker Hayes, Kesha",9/10/2021,161853,FALSE,70
36,RAPSTAR,Polo G,Hall of Fame,Polo G,6/11/2021,165925,TRUE,79
37,Life Goes On,Oliver Tree,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",Oliver Tree,5/28/2021,161803,FALSE,94
38,Get Into It (Yuh),Doja Cat,Planet Her,Doja Cat,6/25/2021,138293,TRUE,89
39,Girls Want Girls (with Lil Baby),"Drake, Lil Baby",Certified Lover Boy,Drake,9/3/2021,221979,TRUE,90
40,Praise God,Kanye West,Donda,Kanye West,8/29/2021,226652,FALSE,86
41,Hurricane,Kanye West,Donda,Kanye West,8/29/2021,243187,FALSE,86
42,You Right,"Doja Cat, The Weeknd",Planet Her,Doja Cat,6/25/2021,186173,TRUE,86
43,Not In The Mood (feat. Fivio Foreign & Kay Flock),"Lil Tjay, Fivio Foreign, Kay Flock",Not In The Mood (feat. Fivio Foreign & Kay Flock),"Lil Tjay, Fivio Foreign, Kay Flock",10/22/2021,150475,TRUE,79
44,Blinding Lights,The Weeknd,After Hours,The Weeknd,3/20/2020,200040,FALSE,92
45,Ain't Shit,Doja Cat,Planet Her,Doja Cat,6/25/2021,174253,TRUE,87
46,No Role Modelz,J. Cole,2014 Forest Hills Drive,J. Cole,12/9/2014,292986,TRUE,86
47,When We Were Young,Adele,25,Adele,11/20/2015,290900,FALSE,85
48,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Tainy, Bad Bunny, Julieta Venegas",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Tainy, Bad Bunny, Julieta Venegas",10/5/2021,207301,FALSE,93
49,Está Dañada,Ivan Cornejo,Alma Vacía,Ivan Cornejo,8/20/2021,214148,FALSE,85
50,I Love You So,The Walters,I Love You So,The Walters,11/28/2014,160239,FALSE,67
